title,summary,slug,locale,body,published_on
「第６回東京ウクライナ・パレード」のお知らせ,"<p>日本の皆様にウクライナの文化に少しでも触れていただくため、第６回東京ウクライナ・パレードの開催を決定いたしました。</p>

<p></p>",parade-2018,ja,"<p>日本の皆様にウクライナの文化に少しでも触れていただくため、第６回東京ウクライナ・パレードの開催を決定いたしました。</p>

<p></p>

<p>日本在住のウクライナ人を中心とし、その友人や知人を招き、例年通り駐日ウクライナ大使イーホル・ハルチェンコ氏にも参加いただきまして、例年を越える盛大なパレードをお見せできることと思います。</p>

<ul>
  <li>第６回東京ウクライナ・パレード</li>
  <li>日時：5月20日（日）</li>
  <li>集合時間：午後1時半</li>
  <li>集合場所：常盤公園 （東京都中央区日本橋本石町4-4-3）</li>
  <li>パレード経路： 常盤公園ー銀座駅ー日比谷公園  <a target=""_blank"" href=""https://bit.ly/UkraineParadeInTokyo"">https://bit.ly/UkraineParadeInTokyo</a></li>
  <li>参加料： 無料</li>
</ul>

<p>ウクライナ・パレードは、参加者がウクライナの民族衣装「ヴィシヴァンカ」に身を包み行進するイベントです。ウクライナ国内各地だけでなく、それ以外の世界中様々な国でも、現地在住のウクライナ人によって大小様々なパレードが行われています。　</p>

<p>日本では2013年に第１回が開催され、以後毎年、途切れることなく開催し続けてきました。</p>

<p>今年も昨年まで同様、多数の参加者がウクライナの民族衣装を身にまとい、パレードの場へと集まることと思います。
　
当日の予定は、常盤公園に13:30に集合、14:00に出発し、東京の中心部である銀座を通って日比谷公園へと練り歩くというものです。色取り取りの民族衣装に身を包み、街中を行進する姿を見た皆様が、祖国ウクライナの伝統文化に興味を持って下さればと願っております。</p>

<p>主催団体の我々”在日ウクライナ人コミュニティ ""Kraiany""は様々な形で支援を行ってくれた駐日ウクライナ大使館およびキエフ総主教座管轄在日ウクライナ正教会に感謝を申し上げるとともに、今年もまた、平和的かつ未来志向のイベントとしてのヴィシュヴァンカ・パレードを通じ日本在住ウクライナ人と、日本に住む全ての皆様の友好がより深まることを願っております。</p>

<p><a href=""https://www.facebook.com/events/160824581296953/"" target=""_blank"">Facebookイベントページ</a></p>
",2018-05-08
Two wounded soldiers arrive for the rehabilitation,"<p>Two wounded soldiers arrived in Japan for treatment. We are very grateful to the Japanese government for accepting wounded.</p>

<p></p>",rehabilitation,en,"<p>Two wounded soldiers arrived in Japan for treatment. We are very grateful to the Japanese government for accepting wounded.</p>

<p></p>

<p>NPO KRAIANY provided support for visa arrangements, transportation from Ukraine to Japan, hospital procedures in Japan, etc.</p>

<p>We will continue to provide maximum support so that rehabilitation can be carried out smoothly.</p>

<p><a href=""https://twitter.com/NPO_KRAIANY/status/1666947834971852800"">Twitter</a></p>

<p><img src=""/assets/images/news/2023-06-09-rehabilitation-d009677a.jpeg"" alt="""" /></p>
",2023-06-09
Наші красуні цього тижня приступають до виконання своїх обов'язків,"<p><a href=""https://www.facebook.com/ukrainians.japan/posts/pfbid02bfwb74Lqfo6RJc8RqFxKqZn5MMFadRbqsJUB4m6Jz98SM9n5uUEbMRSunwbn3Aizl"">Facebook</a></p>

<p>Наші красуні цього тижня приступають до виконання своїх обов'язків рятувати життя українців!</p>

<p></p>",ambulance,uk,"<p><a href=""https://www.facebook.com/ukrainians.japan/posts/pfbid02bfwb74Lqfo6RJc8RqFxKqZn5MMFadRbqsJUB4m6Jz98SM9n5uUEbMRSunwbn3Aizl"">Facebook</a></p>

<p>Наші красуні цього тижня приступають до виконання своїх обов'язків рятувати життя українців!</p>

<p></p>

<p>Щиро дякуємо нашим партнерам - SunPanSa в Японії, Всеукраїнському Об'єднанню ""Патріот"" в Україні, волонтерам  Zeilen Van Vrijheid в Нідерландах за злагоджену роботу!</p>

<p>Дякуємо всім нашим благодійникам за вашу неймовірну підтримку, допомогу,  віру в Україну і довіру до нас!</p>

<p>Разом до перемоги!</p>

<hr />

<h3 id=""httpswwwfacebookcomembassyofjapaninukrainepostspfbid02nehnvr9b39svb2chpk6ryhvcb3ygcdkywkw2i4qkulhrreurg1uxqi11zbnatwz8l"">Від <a href=""https://www.facebook.com/embassyofjapaninukraine/posts/pfbid02nEHNVR9B39SvB2chpK6RyhVCB3yGcDKYWkw2i4QKULhrReurG1uxqi11ZBnATWZ8l"">Посольства Японії в Україні</a></h3>

<p>5 червня до Посла Мацуди завітали представники Всеукраїнського об’єднання «Патріот», які висловили щиру подяку за допомогу Японії для України, зокрема дві машини швидкої допомоги, надані пожежною частиною міста Окуісе та НПО «Краяни».</p>

<p>Автомобілі будуть в подальшому передані до Миколаєва, де допомагатимуть рятувати життя українців.</p>

<p><img src=""/assets/images/news/2023-06-08-ambulance/photo1-227f46be.jpg"" alt="""" />
<img src=""/assets/images/news/2023-06-08-ambulance/photo2-a68cdb6f.jpg"" alt="""" />
<img src=""/assets/images/news/2023-06-08-ambulance/photo3-24ddeadb.jpg"" alt="""" />
<img src=""/assets/images/news/2023-06-08-ambulance/photo4-1e5853ac.jpg"" alt="""" /></p>
",2023-06-08
"Книга ""Україна. Їжа та історія"" японською мовою","<p>Місяці тісної співпраці Українського інституту, команди перекладачів та НПО Краяни завершились чудовою роботою - друком у видавництві Shogakukan CODEX, суперової книги <a href=""https://amzn.asia/d/47c71i2"">""Україна. Їжа та історія""</a>  японською мовою!</p>

<p></p>",ukraine-food-and-history-book,uk,"<p>Місяці тісної співпраці Українського інституту, команди перекладачів та НПО Краяни завершились чудовою роботою - друком у видавництві Shogakukan CODEX, суперової книги <a href=""https://amzn.asia/d/47c71i2"">""Україна. Їжа та історія""</a>  японською мовою!</p>

<p></p>

<p>Частина виручених коштів з продажу книги піде на організовані  НПО Краяни проєкти допомоги Україні. Тож з придбанням цієї книги ви зможете ознайомитися не тільки з історією Херсонських кавунів та рецептами паляниць, а також допомогти Україні.</p>

<p>Робота була цікавою і не з простих. По-перше, хотілось передати назви як найближче до українського звучання. По-друге, не всі продукти можна знайти в японських магазинах. Найскладніше було описати ці продукти зрозуміло і подати рецепти  з близькими за смаком замінниками та описати процес їх приготування.</p>

<p>Дуже щасливі і вдячні долучитися до цього проєкту!</p>

<p><a href=""https://amzn.asia/d/47c71i2"">Передзамовлення вже можна зробити на Амазоні</a>.</p>

<p><img src=""/assets/images/news/2022-12-04-ukraine-food-and-history-book/01-11b09070.jpg"" alt=""З історії української кухні"" />
<img src=""/assets/images/news/2022-12-04-ukraine-food-and-history-book/02-7e42f178.jpg"" alt=""Food and History ウクライナの料理と歴史"" /></p>
",2022-12-04
Парад до Дня державного прапора України,"<p>Організація Сейчьо-но-іе <a href=""https://www.jp.seicho-no-ie.org/"">生長の家</a>　на підтримку України організовує ряд парадів у Японії для відзначення Дня державного прапора.</p>

<p></p>",day-of-flag-parade,uk,"<p>Організація Сейчьо-но-іе <a href=""https://www.jp.seicho-no-ie.org/"">生長の家</a>　на підтримку України організовує ряд парадів у Японії для відзначення Дня державного прапора.</p>

<p></p>
<img src=""/assets/images/news/day-of-flag-93e039fb.png"" style=""width: 50%; float: left; margin: 1em; margin-right: 3em;"" alt="""" /><p>Паради відбудуться починаючи з 23 серпня в різних районах та префектурах Японії. Додаткова інформація та розклад парадів наводиться <a href=""https://www.jp.seicho-no-ie.org/top/p4u/parade/"">на сторінці організації</a>.</p>
",2022-08-23
Beauty of Ukraine to save the world,"<p>They say that beauty will save the world. Ukraine is beautiful.</p>

<p>We invite you to plunge into the world of Ukrainian beauty through the amazing art.</p>

<p></p>",beaty-ukraine,en,"<p>They say that beauty will save the world. Ukraine is beautiful.</p>

<p>We invite you to plunge into the world of Ukrainian beauty through the amazing art.</p>

<p></p>
<img class=""main"" src=""/assets/images/news/2022-06-25-beaty_ukraine/poster.jpg"" /><h2 id=""event-organizers"">Event organizers</h2>

<ul>
  <li>SAF Synchro Art Foundation, F5 GINZA SIX</li>
  <li>Association of friendship Ukraine-Japan NPO Kraiany</li>
  <li>UK for Ukraine</li>
</ul>

<p>With the support of the Embassy of Ukraine in Japan.</p>

<p>To participate in pysanky workshop you need to register at the link below.</p>

<ul>
  <li>Facebook event <a href=""https://www.facebook.com/events/1654725551573025"">link</a></li>
  <li>Registration <a href=""https://l.facebook.com/l.php?u=https%3A%2F%2Fdocs.google.com%2Fforms%2Fd%2Fe%2F1FAIpQLSfmIZd9tDOxHRAgs5wL_7_GLYOfHcx9A7G8ZcPmkk0AqFe2sw%2Fviewform%3Fusp%3Dpp_url%26fbclid%3DIwAR3iN_uOrJENnpt0vWbmM4zDhU6bIdPJ-M3eAzRjU8magydr-zzS1O6k7Kc&amp;h=AT0irxIlFHUJ7ckyH5Kr-sR7hQ4Gsu2vPI-SsFisb7suJEHAcZSygbKgpPgLhqzvDuwFfnzHKtKqvNzEkvwqMDYDvZ4pfLecLlsqHmCqG79ARGNlL8YlSAGdy8aUZMscX51sFFw&amp;__tn__=-UK-R&amp;c[0]=AT2vLgESztAABP_tO0k4GQeyw_xlGhiYHakZprTtPBsKSG8-raDjoLC-ATJEAfWqpdLwbh3Ff3_M5bDx2hnA42ig35tA4I0WxC5lvNyqAsmDLEFdV1NFSjoTHG7I8KJQdtdzX1FgYUO9lhTJ8coYHUGbd8NOr4zFrwtzhtJrKm09XFu8cqFSPtM"">form</a></li>
</ul>
",2022-06-25
「戦争をやめて」という方に知ってほしいこと：ウクライナが降伏した時のコスト,"<p>「戦争をやめて」という方に知ってほしいこと：ウクライナが降伏した時のコス
ト</p>

<p>「戦争するな」という発言の中で、ウクライナに対して「銃をおいて、ロシアと
戦争するな」と呼びかける人を度々見かけますが、ウクライナはロシアに対して
攻撃を仕掛けてはいません。</p>

<p></p>",stop-the-war,ja,"<p>「戦争をやめて」という方に知ってほしいこと：ウクライナが降伏した時のコス
ト</p>

<p>「戦争するな」という発言の中で、ウクライナに対して「銃をおいて、ロシアと
戦争するな」と呼びかける人を度々見かけますが、ウクライナはロシアに対して
攻撃を仕掛けてはいません。</p>

<p></p>

<p>ウクライナでの戦争は、一方的にロシア側が仕掛けた侵攻であり、ウクライナは
戦争はしたくはありません。そして、ロシア領土にウクライナ軍はいません。</p>

<p>想像してみてください。夜自宅でくつろいでいるとしましょう。突然強盗に入ら
れ、身動きが取れないまま、家族が危険な状況に置かれた場合、どうしますか？
子供を殺す人に対して「まあまあ、お茶でも飲んで話し合いましょうか」と言え
ますか？</p>

<p>ウクライナに対して「武器をおいてケンカするな、戦争するな」などと言うこと
は、自宅で強盗に襲われた人に対して、それがその人の責任であり、「強盗に襲
われるのはやめて」と発言するのと同じです。また、その強盗にあった人が助け
を求めているのをわかっているのに、何も手助けをせずにただただ、見ながら、
「はやく強盗に襲われるのをやめればいいのに」と言うのと一緒です。</p>

<p>もう一つ重要なのは、ウクライナ人が武器をおいて降伏した際、民間人を残酷に
扱ってきたロシア人が何をやりだすかを理解しないままそのような発言をしてい
ることです。</p>

<p>現時点でもロシア側が拘束しなければいけない人のリストを作成していることや、
そのリストの対象者を殺害、または極東への強制送還をしています。軍関係者の
被害だけではなく、一般人にも危険が及んでいます。既にマリウポリからも6000
人ほどがロシアへ強制送還され、彼らが持つウクライナのパスポートも取り上げ
られています。</p>

<p>多くの民間人がロシア軍に殺されたり、住む場所を失い、ウクライナ国民、ウク
ライナ軍が必死で防衛をしている中で、ウクライナに対して「戦争やめて」とい
うのは非常に無責任であると感じています。</p>

<p>できることならウクライナ人もこの戦争を早く終わらせたいです。早く日常を取
り戻したいです。</p>

<p>でも、ウクライナが武器を置いたところで日常は戻ってきません。</p>

<p>ロシアが武器を置かないと、ウクライナは平和を取り戻せません。</p>
",2022-03-26
大人のためのウクライナ語クラス,"<p>ウクライナ日曜学校「ジェレツェ」では外国語としてのウクライナ語コースを提供しています。
このコースでは言語を学ぶだけでなく、ネイティブスピーカーとコミュニケーションを取ったり、ウクライナの伝統や文化に関連するイベントに参加する機会もあります。</p>

<p></p>",ukrainian-language-classes,ja,"<p>ウクライナ日曜学校「ジェレツェ」では外国語としてのウクライナ語コースを提供しています。
このコースでは言語を学ぶだけでなく、ネイティブスピーカーとコミュニケーションを取ったり、ウクライナの伝統や文化に関連するイベントに参加する機会もあります。</p>

<p></p>

<p>各クラスは、ウクライナ日曜学校「ジェレツェ」の通常スケジュールに基づいて月に 2 回（各クラス1 時間）実施します。</p>

<p>時間：参加者の予定に合わせて
費用：初回体験レッスンは無料
入会費 <code>5,000円</code>
1年間 <code>40,000円</code>/半年間<code>25,000円</code></p>

<p>次回の体験レッスンは9月11日　13:00～１4:00に実施予定です。</p>

<p>ぜひこの機会にご参加ください。</p>

<p>見学を希望される方は、<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdq1adWJCotCYHi5Q2DotDA-lnn434pvqWz2pWO-4bN2lFTgQ/viewform"">こちら</a>よりお申し込みください。</p>
",2022-09-02
"Оголошення про відкриття ""Кафе Краяни""","<p>В житловому районі приблизно за 15 хвилин пішки від станції JR Мітака відкрилося кафе “Краяни”.</p>

<p><strong></strong></p>",cafe-kraiany,uk,"<p>В житловому районі приблизно за 15 хвилин пішки від станції JR Мітака відкрилося кафе “Краяни”.</p>

<p><strong></strong></p>

<ul>
  <li>Адреса: <a href=""https://goo.gl/maps/98aMcfCh4xkufVYL7"" target=""_blank"">3-2-5 Nishikubo, Musashino City, Tokyo</a></li>
  <li>Режим роботи: понеділок – субота, з 10:00 до 17:00. Вихідний: неділя. (Детальна інформація про тимчасові зміни графіку роботі доступна <a href=""https://twitter.com/npo_kraiany"" target=""_blank""> в Twitter тощо.</a>)</li>
</ul>

<h2 id=""section"">Меню (на час передвідкриння вартість на всі страви 500 єн)</h2>

<ul>
  <li>Борщ</li>
  <li>Вареники</li>
  <li>Пиріг з варенням</li>
  <li>Напої (кава, чай, соки).</li>
</ul>
",2023-02-23
「ウクライナ料理歴史」の日本語訳が出版されました,"<p>数ヶ月に及ぶUkrainian Institute、翻訳者の皆さんと小学館CODEXの多大な努力、そしてNPO KRAIANY監修のもと<a href=""https://amzn.asia/d/47c71i2"">「ウクライナ料理歴史」</a>の日本語訳が出版されました。</p>

<p></p>",ukraine-food-and-history-book,ja,"<p>数ヶ月に及ぶUkrainian Institute、翻訳者の皆さんと小学館CODEXの多大な努力、そしてNPO KRAIANY監修のもと<a href=""https://amzn.asia/d/47c71i2"">「ウクライナ料理歴史」</a>の日本語訳が出版されました。</p>

<p></p>

<p>この本の売り上げの一部は、NPO KRAIANY を通してウクライナ現地の人道救援にあてられます。この本を通して皆さまにウクライナの伝統的レシピや食の歴史、会食エチケットなど、ウクライナより深く知っていただく機会になるだけでなく、ロシアによる戦争の被害者の支援にもつながってくれると嬉しいなと思っています。</p>

<p>この本ではなるべくウクライナ語の発音に近いカタカナ表記を採用しています。また、日本では入手困難な食材も多くあることから代用食材などの提案もさせていただいています。</p>

<p>このプロジェクトに携わることができて心から感謝しています。</p>

<p><a href=""https://amzn.asia/d/47c71i2"">Amazonにて予約注文が可能です</a>。</p>

<p><img src=""/assets/images/news/2022-12-04-ukraine-food-and-history-book/01-11b09070.jpg"" alt=""З історії української кухні"" />
<img src=""/assets/images/news/2022-12-04-ukraine-food-and-history-book/02-7e42f178.jpg"" alt=""Food and History ウクライナの料理と歴史"" /></p>
",2022-12-04
